surprise,joy,neutral,sadness,fear,anger,disgust,album
0.16386703122407198,0.06600991809682455,0.12368866913311649,0.1293162313013454,0.34790314093697816,0.13902561356371734,0.030189391814928968,1989
0.16900679456571546,0.05330788079076088,0.12290020050624242,0.3165498787823778,0.1555829871302614,0.15367118312189212,0.02898107641018354,evermore
0.14932994523339652,0.06382715761322867,0.10058593275872144,0.4236011546824805,0.19006489653309638,0.06026663567701524,0.012324280973354524,fearless
0.12264237366616726,0.062046240627144776,0.11515834112651646,0.22667069903885326,0.21852681878954172,0.23972845310345292,0.015227100186166354,folklore
0.04835143149830401,0.12354285583650279,0.0949870045361523,0.24577458986702064,0.3451349292623086,0.106536918048126,0.03567227151749345,lover
0.23513741613450376,0.0990325003566051,0.1576533872761171,0.14450138282369485,0.24192203843796795,0.10834201374514536,0.013411251044916835,midnights
0.19735524168104998,0.06538724260670799,0.08199395392356175,0.37199927194576177,0.18850588159901754,0.07985280550617192,0.014905623409764044,red
0.09691248901654034,0.13217506987275557,0.2041387020610273,0.16189358475385235,0.15417599707725457,0.22426507687196134,0.026439078481053,reputation
0.11521801655180752,0.014078906180137503,0.042323779846940725,0.10819243872538209,0.5077359673700163,0.19877029667674964,0.013680582367149847,speak_now
0.24251378001645207,0.061728401808068156,0.09999430784955621,0.41081695165485144,0.05768503970466554,0.09769518754910678,0.02956636223825626,taylor_swift
0.11279396278162797,0.20937533994826177,0.09623582568019629,0.3016321698669344,0.12079537357203662,0.14775036151210466,0.011416968753716597,the_life_of_a_showgirl
0.1024767524562776,0.04363733786158264,0.05494982541228334,0.30246601793915034,0.24809858097384374,0.22311794476117938,0.025253559524814288,the_tortured_poets_department
